International plan,Voice mail plan,Churn,Account length,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
0,1,0,0.692163319,1.247508382,1.579669588,0.484867751,-0.05861885,-0.050781228,0.857403445,-0.469031042,-0.085020296,-0.597526734,-0.42917241
0,1,0,0.161277827,1.320985258,-0.329918086,1.13537472,-0.095916199,0.147654468,1.04845815,0.14905361,1.242178947,-0.597526734,-0.42917241
0,0,0,0.919685672,-0.589413535,1.17930193,0.685023742,-1.554438846,0.494916937,-0.759667824,0.200560664,0.7041252,0.216893651,-1.191954841
1,0,0,-0.420168187,-0.589413535,2.212508788,-1.466653155,-2.718508737,-0.596479393,-0.084082629,-0.572045151,-1.304608789,1.031314036,0.33361002
1,0,0,-0.647690541,-0.589413535,-0.235822462,0.634984744,-1.022460868,1.090224025,-0.281046243,1.076180588,-0.049150046,-0.597526734,1.096392451
1,0,0,0.439360704,-0.589413535,0.810299481,-0.11560022,0.396801411,0.04843662,0.053791901,0.921659425,-1.412219538,0.624103844,-1.191954841
0,1,0,0.515201488,1.174031505,0.714358845,-0.615990196,2.907501901,0.395699089,0.225150245,0.921659425,-0.981776541,1.031314036,1.096392451
1,0,0,1.172488287,-0.589413535,-0.414788649,-1.066341174,-1.90974517,-0.298825848,0.209393155,-0.21149577,-1.12525754,0.624103844,-1.191954841
1,1,0,1.020806718,2.129230902,1.459743792,-0.816146186,0.424283668,0.544525861,2.466596169,-0.159988716,0.345422702,0.216893651,-1.191954841
0,0,0,-0.672970802,-0.589413535,0.15163011,1.335530711,-0.726045095,2.380056051,-0.101809354,-0.314509879,-0.407852544,0.216893651,-1.191954841
0,0,0,1.703373778,-0.589413535,-0.935082102,-0.215678215,-1.874410839,-1.439831102,-1.183139594,1.436729968,0.345422702,-1.004736927,-0.42917241
0,0,0,-0.142085311,-0.589413535,-0.422168698,-0.615990196,0.926816369,-1.241395405,-0.174685891,0.767138262,0.739995449,0.216893651,1.096392451
0,0,0,-0.97633394,-0.589413535,-1.084528094,-1.516692153,2.096775316,-1.191786481,0.036065175,-0.056974607,1.026957448,0.624103844,1.859174882
0,1,0,-0.394887926,1.394462135,0.312146175,1.935998682,1.580501485,-0.497261545,-2.203411113,-1.293143911,1.278049196,-0.190316542,-0.42917241
0,0,0,-0.192645834,-0.589413535,0.206980477,0.685023742,0.34968897,0.544525861,-1.409647749,1.076180588,-0.766555042,-0.597526734,1.096392451
0,1,0,-0.622410279,1.835323395,0.188530355,-1.716848143,0.243685978,-1.737484646,-0.698609104,0.406588882,-0.085020296,0.216893651,-0.42917241
0,0,0,-0.698251064,-0.589413535,0.828749604,-0.515912201,-0.802602811,-0.596479393,-0.164837711,-1.344650966,0.991087198,-1.004736927,-0.42917241
0,0,0,1.172488287,-0.589413535,-0.449843882,0.835140735,0.771737919,-0.348434772,0.150304071,1.69426524,0.130201203,-0.190316542,-1.191954841
0,0,1,-0.597130018,-0.589413535,-2.160170233,-0.565951198,-0.598448901,1.040615101,0.16606116,-1.859721509,-1.627441037,0.624103844,2.621957313
0,0,0,0.742723842,-0.589413535,0.064914534,0.584945747,-2.502576716,-0.050781228,-0.381497686,-1.138622748,-0.264371545,5.917836348,-1.191954841
0,0,0,0.793284365,-0.589413535,-1.815152943,-0.716068191,0.879703929,-1.390222178,0.705741462,0.767138262,0.022590454,-1.004736927,-1.191954841
0,0,0,1.855055347,-0.589413535,-1.018107653,-1.216458167,1.505906788,0.594134785,0.975581613,0.767138262,1.887843443,0.216893651,1.096392451
0,1,0,-1.102735247,2.276184655,0.618418208,0.735062739,-0.182289007,0.594134785,-0.36377096,0.767138262,-0.264371545,-0.597526734,-1.191954841
0,0,0,-1.178576032,-0.589413535,-0.833606429,-1.36657516,-0.881123546,-0.001172304,-1.951297687,-1.653693292,1.600881444,-0.190316542,1.096392451
0,0,0,-2.038104923,-0.589413535,0.194065392,0.434828754,1.134896316,-0.794915089,-0.387406594,0.097546556,-1.412219538,0.624103844,-1.191954841
0,0,0,1.04608698,-0.589413535,-1.74688749,-0.265717213,-1.250170999,-1.836702494,0.971642341,2.466871055,1.421530196,0.624103844,0.33361002
0,0,0,-0.647690541,-0.589413535,0.860114812,0.234672763,0.021864903,0.346090165,0.886947987,-0.108481662,0.022590454,0.216893651,-0.42917241
0,0,0,1.804494824,-0.589413535,0.599968085,1.035296725,-3.321155375,0.742961557,1.814646607,-1.138622748,0.847606199,2.252944614,1.096392451
0,0,1,-2.240347015,-0.589413535,1.29369269,0.885179732,1.021041251,0.941397253,1.556624273,-0.520538096,0.560644201,-0.597526734,-0.42917241
0,1,0,-1.102735247,1.247508382,-0.049476225,-0.31575621,-0.105731291,-1.241395405,0.24287697,0.818645316,-0.694814542,-0.190316542,-1.191954841
0,1,0,-0.723531325,2.129230902,0.747569065,-1.016302177,0.332021804,0.098045544,-0.952692165,-1.499172129,1.600881444,0.624103844,1.096392451
0,0,0,-0.571849756,-0.589413535,-0.898181858,-1.816926138,0.45765498,0.792570481,0.524534937,0.406588882,-0.085020296,0.216893651,-0.42917241
1,1,0,0.894405411,1.835323395,0.450522094,0.284711761,-0.25099465,-0.050781228,-1.959176232,0.355081827,0.094330953,0.624103844,1.096392451
0,0,0,1.22304881,-0.589413535,-0.721060682,-0.31575621,1.401866814,-0.398043696,-0.253471337,0.406588882,0.309552452,1.845734422,-0.42917241
0,0,0,-0.066244526,-0.589413535,-0.981207409,0.084555771,-0.65930247,-0.745306165,-0.263319517,1.797279349,-0.300241794,-1.004736927,1.096392451
1,1,1,0.869125149,2.423138408,-0.117741678,-0.766107189,0.068977343,0.346090165,-1.555400823,-1.138622748,1.565011195,4.288995578,-1.191954841
0,0,0,-1.684181262,-0.589413535,-1.008882592,-0.916224181,1.606020724,-0.100390152,2.173120384,-1.138622748,-0.085020296,-0.190316542,0.33361002
0,0,0,1.501131686,-0.589413535,-1.728437368,-1.166419169,-0.688747746,0.494916937,-0.446495678,-0.417523988,-0.371982294,-0.190316542,1.096392451
0,0,0,-0.925773417,-0.589413535,-0.470139017,-1.666809145,0.498878366,0.891788329,1.263148489,-0.726566314,-2.416586532,-0.597526734,-0.42917241
0,1,0,-1.052174724,1.467939012,-1.08083807,-0.165639217,0.247612015,-0.398043696,-0.749819643,0.818645316,-0.623074043,0.216893651,0.33361002
0,0,0,1.04608698,-0.589413535,0.138715024,1.635764696,-1.291394384,-1.291004329,0.808162541,1.385222914,-1.01764679,0.216893651,0.33361002
0,1,0,-0.091524788,1.174031505,-0.853901564,1.735842691,0.330058786,-2.084747114,-2.57173307,-1.087115694,0.273682202,-0.597526734,-0.42917241
0,0,0,-1.229136555,-0.589413535,0.229120624,0.384789756,1.362606447,-0.199608,0.70180219,-0.675059259,-0.874165791,0.216893651,1.096392451
0,0,0,-1.026894463,-0.589413535,0.758639138,-2.167199122,0.210314666,0.742961557,0.942097799,1.488237023,-1.232868289,-0.597526734,-0.42917241
0,0,0,-0.116805049,-0.589413535,-0.355748258,0.835140735,1.317457024,-1.638266798,0.53832239,-1.653693292,-0.336112044,0.216893651,0.33361002
0,0,1,-0.344327403,-0.589413535,-0.525489384,-0.866185184,0.379134245,0.792570481,0.053791901,1.385222914,-0.192631045,-0.597526734,2.621957313
0,0,0,-0.496008972,-0.589413535,-0.073461384,-1.666809145,0.960187682,-0.745306165,1.35966066,-0.108481662,-0.013279796,-0.597526734,-0.42917241
0,0,0,1.020806718,-0.589413535,-0.970137335,-0.11560022,-0.400184046,-1.886311418,-1.189048502,1.436729968,-0.802425292,-1.004736927,-0.42917241
0,1,1,0.515201488,1.614892765,0.34904642,1.435608706,-2.455464276,-1.142177557,-0.393315502,-1.190129803,-1.591570787,-0.597526734,1.096392451
0,0,0,0.616322534,-0.589413535,0.919155204,0.134594768,-0.451222524,1.288659722,-0.233774975,-0.263002825,0.6323847,1.438524229,-0.42917241
0,0,0,1.855055347,-0.589413535,0.232810649,-0.165639217,-0.598448901,-0.298825848,-0.680882379,-2.374792052,0.417163201,-0.190316542,-0.42917241
0,1,0,0.388800181,1.908800272,1.644245016,-0.866185184,-0.435518377,2.082402507,-0.686791287,0.303574773,0.488903701,-0.597526734,0.33361002
0,1,0,1.22304881,1.467939012,0.022479253,-0.415834205,-0.247068614,-1.78709357,1.267087761,-2.426299107,0.847606199,-0.597526734,1.096392451
0,0,0,-1.583060216,-0.589413535,-0.890801809,-0.11560022,-0.735860187,-0.149999076,-0.830574725,0.303574773,-0.730684792,0.624103844,0.33361002
0,1,0,-1.532499693,2.423138408,-0.578994739,-1.316536162,-0.606300975,-0.596479393,0.254694787,0.097546556,-1.448089788,0.216893651,0.33361002
1,0,0,-1.456658908,-0.589413535,1.328747922,0.234672763,0.243685978,0.197263392,-0.854210359,-1.705200346,-0.336112044,-0.190316542,-1.191954841
1,0,0,0.312959396,-0.589413535,-1.001502543,-0.365795208,0.118052803,0.941397253,-1.415556658,2.003307566,-0.694814542,1.438524229,-1.191954841
0,0,0,0.641602796,-0.589413535,0.592588036,-1.516692153,0.324169731,-0.993350785,-0.938904712,-2.065749726,-0.874165791,-1.41194712,-0.42917241
0,0,1,1.248329071,-0.589413535,-0.010730968,0.034516773,-0.614153048,0.494916937,-1.035416883,-0.005467553,1.278049196,-0.597526734,1.859174882
